R,G,B,color_name,class
0.000,0.612,0.388,BLACK,8
0.000,0.661,0.339,BLACK,8
0.013,0.546,0.441,BLACK,8
0.010,0.614,0.376,BLACK,8
0.013,0.668,0.318,BLACK,8
0.005,0.679,0.316,BLACK,8
0.000,0.576,0.424,BLACK,8
0.000,0.584,0.416,BLACK,8
0.000,0.513,0.487,BLACK,8
0.000,0.612,0.388,BLACK,8
0.000,0.455,0.545,BLACK,8
0.000,0.584,0.416,BLACK,8
0.000,0.585,0.415,BLACK,8
0.000,0.623,0.377,BLACK,8
0.000,0.663,0.337,BLACK,8
0.005,0.711,0.285,BLACK,8
0.000,0.672,0.328,BLACK,8
0.000,0.650,0.350,BLACK,8
0.005,0.618,0.377,BLACK,8
0.000,0.551,0.449,BLACK,8
0.000,0.490,0.510,BLACK,8
0.000,0.648,0.352,BLACK,8
0.004,0.596,0.400,BLACK,8
0.011,0.620,0.369,BLACK,8
0.000,0.559,0.441,BLACK,8
0.000,0.603,0.397,BLACK,8
0.009,0.538,0.453,BLACK,8
0.000,0.630,0.370,BLACK,8
0.000,0.629,0.371,BLACK,8
0.016,0.714,0.270,BLACK,8
0.000,0.596,0.404,BLACK,8
0.006,0.528,0.466,BLACK,8
0.000,0.552,0.448,BLACK,8
0.000,0.577,0.423,BLACK,8
0.000,0.664,0.336,BLACK,8
0.000,0.622,0.378,BLACK,8
0.000,0.519,0.481,BLACK,8
0.002,0.697,0.301,BLACK,8
0.000,0.418,0.582,BLACK,8
0.000,0.592,0.408,BLACK,8
0.000,0.598,0.402,BLACK,8
0.000,0.613,0.387,BLACK,8
0.000,0.666,0.334,BLACK,8
0.011,0.727,0.262,BLACK,8
0.000,0.606,0.394,BLACK,8
0.002,0.586,0.412,BLACK,8
0.001,0.670,0.330,BLACK,8
0.008,0.417,0.575,BLACK,8
0.006,0.498,0.496,BLACK,8
0.003,0.638,0.360,BLACK,8
0.002,0.686,0.312,BLACK,8
0.003,0.506,0.491,BLACK,8
0.010,0.564,0.426,BLACK,8
0.000,0.658,0.342,BLACK,8
0.011,0.622,0.367,BLACK,8
0.012,0.606,0.381,BLACK,8
0.003,0.625,0.372,BLACK,8
0.005,0.487,0.508,BLACK,8
0.000,0.648,0.352,BLACK,8
0.005,0.735,0.260,BLACK,8
0.000,0.613,0.387,BLACK,8
0.004,0.475,0.521,BLACK,8
0.000,0.622,0.378,BLACK,8
0.007,0.592,0.401,BLACK,8
0.000,0.663,0.337,BLACK,8
0.000,0.516,0.484,BLACK,8
0.000,0.615,0.385,BLACK,8
0.000,0.535,0.465,BLACK,8
0.004,0.591,0.405,BLACK,8
0.000,0.647,0.353,BLACK,8
0.014,0.567,0.419,BLACK,8
0.000,0.645,0.355,BLACK,8
0.000,0.519,0.481,BLACK,8
0.000,0.692,0.308,BLACK,8
0.000,0.600,0.400,BLACK,8
0.000,0.613,0.387,BLACK,8
0.000,0.706,0.294,BLACK,8
0.011,0.695,0.294,BLACK,8
0.002,0.649,0.350,BLACK,8
0.000,0.589,0.411,BLACK,8
0.000,0.684,0.316,BLACK,8
0.000,0.625,0.375,BLACK,8
0.013,0.624,0.362,BLACK,8
0.000,0.641,0.359,BLACK,8
0.000,0.622,0.378,BLACK,8
0.000,0.678,0.322,BLACK,8
0.013,0.597,0.390,BLACK,8
0.009,0.476,0.515,BLACK,8
0.008,0.678,0.314,BLACK,8
0.011,0.551,0.438,BLACK,8
0.000,0.650,0.350,BLACK,8
0.001,0.705,0.294,BLACK,8
0.000,0.720,0.280,BLACK,8
0.010,0.680,0.311,BLACK,8
0.002,0.513,0.485,BLACK,8
0.019,0.577,0.404,BLACK,8
0.011,0.603,0.386,BLACK,8
0.000,0.621,0.379,BLACK,8
0.000,0.648,0.352,BLACK,8
0.004,0.485,0.511,BLACK,8
0.012,0.624,0.364,BLACK,8
0.000,0.610,0.390,BLACK,8
0.000,0.610,0.390,BLACK,8
0.000,0.564,0.436,BLACK,8
0.003,0.511,0.485,BLACK,8
0.000,0.655,0.345,BLACK,8
0.024,0.622,0.354,BLACK,8
0.004,0.420,0.577,BLACK,8
0.010,0.573,0.416,BLACK,8
0.008,0.628,0.364,BLACK,8
0.005,0.527,0.468,BLACK,8
0.002,0.604,0.394,BLACK,8
0.000,0.638,0.362,BLACK,8
0.027,0.489,0.484,BLACK,8
0.010,0.611,0.379,BLACK,8
0.000,0.621,0.379,BLACK,8
0.007,0.624,0.369,BLACK,8
0.008,0.629,0.363,BLACK,8
0.007,0.592,0.401,BLACK,8
0.000,0.577,0.423,BLACK,8
0.009,0.627,0.364,BLACK,8
0.019,0.679,0.303,BLACK,8
0.000,0.563,0.437,BLACK,8
0.007,0.552,0.441,BLACK,8
0.009,0.791,0.200,BLACK,8
0.000,0.561,0.439,BLACK,8
0.004,0.632,0.363,BLACK,8
0.009,0.648,0.342,BLACK,8
0.000,0.720,0.280,BLACK,8
0.006,0.688,0.306,BLACK,8
0.000,0.653,0.346,BLACK,8
0.000,0.647,0.353,BLACK,8
0.000,0.705,0.295,BLACK,8
0.000,0.590,0.410,BLACK,8
0.000,0.640,0.360,BLACK,8
0.000,0.665,0.335,BLACK,8
0.000,0.484,0.516,BLACK,8
0.000,0.603,0.397,BLACK,8
0.005,0.604,0.391,BLACK,8
0.000,0.556,0.444,BLACK,8
0.018,0.686,0.296,BLACK,8
0.000,0.585,0.415,BLACK,8
0.021,0.519,0.459,BLACK,8
0.000,0.578,0.422,BLACK,8
0.004,0.669,0.327,BLACK,8
0.002,0.501,0.497,BLACK,8
0.000,0.589,0.411,BLACK,8
0.003,0.725,0.272,BLACK,8
0.000,0.487,0.513,BLACK,8
0.001,0.551,0.448,BLACK,8
0.000,0.675,0.325,BLACK,8
0.000,0.511,0.489,BLACK,8
0.000,0.721,0.279,BLACK,8
0.000,0.560,0.440,BLACK,8
0.001,0.648,0.351,BLACK,8
0.010,0.565,0.424,BLACK,8
0.005,0.626,0.369,BLACK,8
0.017,0.682,0.302,BLACK,8
0.000,0.539,0.461,BLACK,8
0.000,0.449,0.551,BLACK,8
0.000,0.585,0.415,BLACK,8
0.000,0.531,0.469,BLACK,8
0.010,0.620,0.369,BLACK,8
0.001,0.564,0.434,BLACK,8
0.002,0.704,0.294,BLACK,8
0.000,0.653,0.347,BLACK,8
0.011,0.769,0.220,BLACK,8
0.000,0.585,0.415,BLACK,8
0.000,0.615,0.385,BLACK,8
0.004,0.688,0.308,BLACK,8
0.000,0.640,0.360,BLACK,8
0.000,0.538,0.462,BLACK,8
0.011,0.623,0.365,BLACK,8
0.000,0.702,0.298,BLACK,8
0.000,0.661,0.339,BLACK,8
0.008,0.577,0.415,BLACK,8
0.000,0.561,0.439,BLACK,8
0.002,0.601,0.396,BLACK,8
0.000,0.668,0.332,BLACK,8
0.002,0.665,0.333,BLACK,8
