R,G,B,color_name,class
0.033,0.228,0.740,BLUE,7
0.023,0.213,0.764,BLUE,7
0.052,0.260,0.688,BLUE,7
0.091,0.248,0.661,BLUE,7
0.036,0.389,0.575,BLUE,7
0.024,0.402,0.574,BLUE,7
0.064,0.250,0.686,BLUE,7
0.054,0.403,0.543,BLUE,7
0.020,0.342,0.638,BLUE,7
0.028,0.403,0.569,BLUE,7
0.056,0.391,0.553,BLUE,7
0.046,0.334,0.620,BLUE,7
0.068,0.446,0.486,BLUE,7
0.022,0.391,0.586,BLUE,7
0.048,0.525,0.427,BLUE,7
0.058,0.264,0.678,BLUE,7
0.022,0.353,0.626,BLUE,7
0.022,0.283,0.695,BLUE,7
0.050,0.373,0.577,BLUE,7
0.067,0.523,0.410,BLUE,7
0.047,0.334,0.619,BLUE,7
0.021,0.350,0.629,BLUE,7
0.046,0.395,0.558,BLUE,7
0.039,0.404,0.557,BLUE,7
0.007,0.361,0.632,BLUE,7
0.082,0.311,0.607,BLUE,7
0.020,0.407,0.573,BLUE,7
0.031,0.313,0.656,BLUE,7
0.008,0.323,0.668,BLUE,7
0.027,0.437,0.536,BLUE,7
0.033,0.256,0.712,BLUE,7
0.025,0.444,0.531,BLUE,7
0.047,0.239,0.714,BLUE,7
0.012,0.348,0.640,BLUE,7
0.018,0.437,0.545,BLUE,7
0.020,0.257,0.723,BLUE,7
0.040,0.332,0.628,BLUE,7
0.024,0.297,0.679,BLUE,7
0.064,0.237,0.699,BLUE,7
0.043,0.345,0.612,BLUE,7
0.041,0.327,0.631,BLUE,7
0.027,0.396,0.577,BLUE,7
0.057,0.330,0.613,BLUE,7
0.039,0.356,0.605,BLUE,7
0.026,0.287,0.687,BLUE,7
0.048,0.361,0.591,BLUE,7
0.031,0.181,0.788,BLUE,7
0.011,0.377,0.612,BLUE,7
0.024,0.238,0.739,BLUE,7
0.003,0.322,0.675,BLUE,7
0.047,0.231,0.722,BLUE,7
0.005,0.260,0.735,BLUE,7
0.016,0.225,0.758,BLUE,7
0.051,0.256,0.693,BLUE,7
0.053,0.340,0.608,BLUE,7
0.028,0.243,0.729,BLUE,7
0.012,0.326,0.662,BLUE,7
0.023,0.235,0.741,BLUE,7
0.044,0.258,0.698,BLUE,7
0.024,0.346,0.630,BLUE,7
0.000,0.430,0.570,BLUE,7
0.026,0.405,0.569,BLUE,7
0.033,0.374,0.593,BLUE,7
0.018,0.268,0.714,BLUE,7
0.021,0.217,0.763,BLUE,7
0.008,0.414,0.578,BLUE,7
0.019,0.348,0.633,BLUE,7
0.001,0.217,0.782,BLUE,7
0.041,0.305,0.654,BLUE,7
0.001,0.433,0.566,BLUE,7
0.051,0.161,0.788,BLUE,7
0.023,0.405,0.572,BLUE,7
0.038,0.463,0.498,BLUE,7
0.003,0.417,0.580,BLUE,7
0.012,0.406,0.582,BLUE,7
0.056,0.375,0.568,BLUE,7
0.018,0.364,0.617,BLUE,7
0.098,0.331,0.572,BLUE,7
0.029,0.403,0.568,BLUE,7
0.014,0.297,0.689,BLUE,7
0.035,0.250,0.715,BLUE,7
0.062,0.334,0.604,BLUE,7
0.034,0.191,0.775,BLUE,7
0.047,0.307,0.646,BLUE,7
0.032,0.385,0.583,BLUE,7
0.029,0.392,0.579,BLUE,7
0.044,0.325,0.631,BLUE,7
0.044,0.270,0.686,BLUE,7
0.036,0.164,0.800,BLUE,7
0.025,0.405,0.570,BLUE,7
0.055,0.252,0.693,BLUE,7
0.043,0.424,0.533,BLUE,7
0.084,0.347,0.568,BLUE,7
0.037,0.291,0.672,BLUE,7
0.051,0.415,0.534,BLUE,7
0.026,0.222,0.753,BLUE,7
0.017,0.316,0.668,BLUE,7
0.025,0.422,0.552,BLUE,7
0.003,0.327,0.670,BLUE,7
0.017,0.403,0.580,BLUE,7
0.054,0.369,0.577,BLUE,7
0.033,0.384,0.583,BLUE,7
0.023,0.309,0.668,BLUE,7
0.024,0.302,0.674,BLUE,7
0.049,0.334,0.617,BLUE,7
0.011,0.384,0.604,BLUE,7
0.050,0.304,0.646,BLUE,7
0.026,0.315,0.659,BLUE,7
0.051,0.273,0.676,BLUE,7
0.020,0.549,0.431,BLUE,7
0.009,0.455,0.536,BLUE,7
0.028,0.421,0.551,BLUE,7
0.034,0.249,0.717,BLUE,7
0.036,0.223,0.741,BLUE,7
0.029,0.288,0.684,BLUE,7
0.029,0.349,0.622,BLUE,7
0.036,0.337,0.628,BLUE,7
0.000,0.334,0.666,BLUE,7
0.071,0.308,0.621,BLUE,7
0.032,0.423,0.545,BLUE,7
0.042,0.284,0.675,BLUE,7
0.096,0.294,0.611,BLUE,7
0.061,0.263,0.675,BLUE,7
0.030,0.285,0.685,BLUE,7
0.093,0.351,0.557,BLUE,7
0.038,0.367,0.595,BLUE,7
0.089,0.294,0.617,BLUE,7
0.076,0.334,0.590,BLUE,7
0.049,0.327,0.624,BLUE,7
0.033,0.305,0.662,BLUE,7
0.024,0.398,0.579,BLUE,7
0.044,0.427,0.529,BLUE,7
0.030,0.354,0.616,BLUE,7
0.053,0.349,0.599,BLUE,7
0.005,0.320,0.675,BLUE,7
0.043,0.272,0.685,BLUE,7
0.018,0.503,0.479,BLUE,7
0.052,0.286,0.662,BLUE,7
0.086,0.316,0.599,BLUE,7
0.067,0.256,0.677,BLUE,7
0.043,0.367,0.591,BLUE,7
0.013,0.386,0.601,BLUE,7
0.049,0.416,0.535,BLUE,7
0.047,0.364,0.589,BLUE,7
0.052,0.318,0.630,BLUE,7
0.033,0.313,0.655,BLUE,7
0.013,0.296,0.691,BLUE,7
0.053,0.316,0.630,BLUE,7
0.051,0.311,0.638,BLUE,7
0.037,0.502,0.460,BLUE,7
0.019,0.401,0.581,BLUE,7
0.009,0.277,0.714,BLUE,7
0.005,0.307,0.689,BLUE,7
0.038,0.321,0.641,BLUE,7
0.036,0.349,0.614,BLUE,7
0.074,0.358,0.568,BLUE,7
0.058,0.344,0.598,BLUE,7
0.026,0.443,0.531,BLUE,7
0.065,0.367,0.569,BLUE,7
0.038,0.285,0.676,BLUE,7
0.012,0.390,0.598,BLUE,7
0.053,0.340,0.607,BLUE,7
0.035,0.139,0.826,BLUE,7
0.050,0.312,0.637,BLUE,7
0.062,0.272,0.666,BLUE,7
0.019,0.301,0.681,BLUE,7
0.012,0.503,0.486,BLUE,7
0.029,0.337,0.634,BLUE,7
0.032,0.208,0.760,BLUE,7
0.069,0.333,0.598,BLUE,7
0.041,0.389,0.570,BLUE,7
0.039,0.317,0.644,BLUE,7
0.032,0.311,0.658,BLUE,7
0.044,0.412,0.544,BLUE,7
0.034,0.348,0.618,BLUE,7
0.062,0.323,0.616,BLUE,7
0.034,0.233,0.733,BLUE,7
0.038,0.332,0.630,BLUE,7
0.053,0.405,0.542,BLUE,7
0.019,0.311,0.670,BLUE,7
0.073,0.309,0.618,BLUE,7
0.078,0.284,0.638,BLUE,7
