R,G,B,color_name,class
0.000,1.000,0.000,GREEN,6
0.013,0.987,0.000,GREEN,6
0.000,0.995,0.005,GREEN,6
0.011,0.989,0.000,GREEN,6
0.008,0.980,0.013,GREEN,6
0.002,0.998,0.000,GREEN,6
0.001,0.997,0.003,GREEN,6
0.007,0.988,0.005,GREEN,6
0.000,1.000,0.000,GREEN,6
0.005,0.995,0.000,GREEN,6
0.019,0.981,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.017,0.983,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.986,0.014,GREEN,6
0.000,1.000,0.000,GREEN,6
0.010,0.990,0.000,GREEN,6
0.000,0.990,0.010,GREEN,6
0.006,0.994,0.000,GREEN,6
0.007,0.986,0.007,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.997,0.003,GREEN,6
0.004,0.996,0.000,GREEN,6
0.004,0.996,0.000,GREEN,6
0.010,0.984,0.006,GREEN,6
0.000,0.984,0.016,GREEN,6
0.000,1.000,0.000,GREEN,6
0.004,0.996,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.008,0.974,0.018,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.986,0.014,GREEN,6
0.005,0.995,0.000,GREEN,6
0.009,0.991,0.000,GREEN,6
0.000,0.994,0.006,GREEN,6
0.003,0.997,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.007,0.993,0.000,GREEN,6
0.000,0.994,0.006,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.008,0.992,0.000,GREEN,6
0.000,0.994,0.006,GREEN,6
0.005,0.993,0.002,GREEN,6
0.007,0.983,0.010,GREEN,6
0.007,0.993,0.000,GREEN,6
0.015,0.985,0.000,GREEN,6
0.008,0.992,0.000,GREEN,6
0.004,0.996,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.005,0.993,0.002,GREEN,6
0.007,0.985,0.008,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.993,0.007,GREEN,6
0.005,0.995,0.000,GREEN,6
0.004,0.980,0.016,GREEN,6
0.019,0.981,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.007,0.993,0.000,GREEN,6
0.000,0.991,0.009,GREEN,6
0.002,0.998,0.000,GREEN,6
0.000,0.994,0.006,GREEN,6
0.007,0.991,0.002,GREEN,6
0.005,0.995,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.990,0.010,GREEN,6
0.003,0.990,0.007,GREEN,6
0.000,1.000,0.000,GREEN,6
0.001,0.978,0.021,GREEN,6
0.003,0.997,0.000,GREEN,6
0.000,0.995,0.005,GREEN,6
0.000,0.996,0.004,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.007,0.993,0.000,GREEN,6
0.000,0.990,0.010,GREEN,6
0.001,0.999,0.000,GREEN,6
0.001,0.994,0.005,GREEN,6
0.026,0.961,0.013,GREEN,6
0.010,0.990,0.000,GREEN,6
0.001,0.999,0.000,GREEN,6
0.016,0.984,0.000,GREEN,6
0.000,0.979,0.021,GREEN,6
0.003,0.997,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.987,0.013,GREEN,6
0.000,0.996,0.004,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.006,0.994,0.000,GREEN,6
0.000,0.990,0.010,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.007,0.993,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.998,0.002,GREEN,6
0.000,0.998,0.002,GREEN,6
0.011,0.986,0.003,GREEN,6
0.002,0.983,0.015,GREEN,6
0.002,0.980,0.018,GREEN,6
0.008,0.992,0.000,GREEN,6
0.003,0.997,0.000,GREEN,6
0.001,0.999,0.000,GREEN,6
0.008,0.991,0.001,GREEN,6
0.004,0.986,0.010,GREEN,6
0.000,0.999,0.001,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.981,0.019,GREEN,6
0.000,0.987,0.013,GREEN,6
0.001,0.999,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.999,0.001,GREEN,6
0.005,0.995,0.000,GREEN,6
0.000,0.991,0.009,GREEN,6
0.006,0.994,0.001,GREEN,6
0.003,0.987,0.010,GREEN,6
0.000,1.000,0.000,GREEN,6
0.006,0.994,0.000,GREEN,6
0.006,0.994,0.000,GREEN,6
0.008,0.990,0.002,GREEN,6
0.014,0.986,0.000,GREEN,6
0.000,0.999,0.001,GREEN,6
0.008,0.982,0.010,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.022,0.971,0.007,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.983,0.017,GREEN,6
0.011,0.985,0.004,GREEN,6
0.008,0.992,0.000,GREEN,6
0.002,0.998,0.000,GREEN,6
0.000,0.999,0.001,GREEN,6
0.000,1.000,0.000,GREEN,6
0.003,0.997,0.000,GREEN,6
0.000,0.988,0.012,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.988,0.012,GREEN,6
0.012,0.988,0.000,GREEN,6
0.000,0.990,0.010,GREEN,6
0.006,0.992,0.002,GREEN,6
0.000,0.989,0.011,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.015,0.979,0.006,GREEN,6
0.000,1.000,0.000,GREEN,6
0.011,0.989,0.000,GREEN,6
0.006,0.987,0.006,GREEN,6
0.014,0.978,0.008,GREEN,6
0.000,0.989,0.011,GREEN,6
0.000,0.998,0.002,GREEN,6
0.002,0.998,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.001,0.986,0.013,GREEN,6
0.001,0.990,0.009,GREEN,6
0.002,0.998,0.000,GREEN,6
0.006,0.979,0.014,GREEN,6
0.002,0.998,0.000,GREEN,6
0.005,0.995,0.000,GREEN,6
0.004,0.973,0.023,GREEN,6
0.000,0.991,0.009,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,1.000,0.000,GREEN,6
0.000,0.987,0.013,GREEN,6
0.000,0.999,0.001,GREEN,6
0.004,0.993,0.003,GREEN,6
0.004,0.996,0.000,GREEN,6
0.005,0.995,0.000,GREEN,6
0.002,0.991,0.007,GREEN,6
0.017,0.983,0.000,GREEN,6
0.000,0.996,0.004,GREEN,6
