R,G,B,color_name,class
0.255,0.435,0.309,LIGHT_BLUE,5
0.233,0.435,0.333,LIGHT_BLUE,5
0.239,0.434,0.327,LIGHT_BLUE,5
0.286,0.275,0.439,LIGHT_BLUE,5
0.291,0.293,0.416,LIGHT_BLUE,5
0.343,0.340,0.317,LIGHT_BLUE,5
0.244,0.397,0.359,LIGHT_BLUE,5
0.292,0.299,0.409,LIGHT_BLUE,5
0.226,0.332,0.441,LIGHT_BLUE,5
0.318,0.288,0.394,LIGHT_BLUE,5
0.321,0.223,0.456,LIGHT_BLUE,5
0.221,0.331,0.448,LIGHT_BLUE,5
0.275,0.366,0.358,LIGHT_BLUE,5
0.262,0.315,0.423,LIGHT_BLUE,5
0.378,0.346,0.275,LIGHT_BLUE,5
0.249,0.411,0.340,LIGHT_BLUE,5
0.237,0.347,0.417,LIGHT_BLUE,5
0.226,0.353,0.422,LIGHT_BLUE,5
0.270,0.252,0.478,LIGHT_BLUE,5
0.358,0.371,0.271,LIGHT_BLUE,5
0.279,0.436,0.285,LIGHT_BLUE,5
0.147,0.395,0.457,LIGHT_BLUE,5
0.175,0.480,0.345,LIGHT_BLUE,5
0.261,0.409,0.330,LIGHT_BLUE,5
0.326,0.316,0.357,LIGHT_BLUE,5
0.296,0.353,0.351,LIGHT_BLUE,5
0.326,0.262,0.412,LIGHT_BLUE,5
0.250,0.306,0.445,LIGHT_BLUE,5
0.165,0.350,0.485,LIGHT_BLUE,5
0.337,0.341,0.322,LIGHT_BLUE,5
0.282,0.341,0.377,LIGHT_BLUE,5
0.299,0.367,0.334,LIGHT_BLUE,5
0.264,0.441,0.294,LIGHT_BLUE,5
0.207,0.361,0.432,LIGHT_BLUE,5
0.222,0.245,0.533,LIGHT_BLUE,5
0.261,0.381,0.358,LIGHT_BLUE,5
0.367,0.325,0.308,LIGHT_BLUE,5
0.202,0.275,0.523,LIGHT_BLUE,5
0.278,0.397,0.325,LIGHT_BLUE,5
0.147,0.434,0.420,LIGHT_BLUE,5
0.220,0.413,0.367,LIGHT_BLUE,5
0.368,0.344,0.288,LIGHT_BLUE,5
0.228,0.318,0.454,LIGHT_BLUE,5
0.230,0.452,0.318,LIGHT_BLUE,5
0.309,0.381,0.311,LIGHT_BLUE,5
0.299,0.352,0.349,LIGHT_BLUE,5
0.335,0.316,0.349,LIGHT_BLUE,5
0.325,0.332,0.344,LIGHT_BLUE,5
0.287,0.384,0.329,LIGHT_BLUE,5
0.163,0.353,0.484,LIGHT_BLUE,5
0.200,0.413,0.387,LIGHT_BLUE,5
0.306,0.307,0.387,LIGHT_BLUE,5
0.353,0.306,0.342,LIGHT_BLUE,5
0.226,0.363,0.411,LIGHT_BLUE,5
0.208,0.370,0.422,LIGHT_BLUE,5
0.263,0.276,0.461,LIGHT_BLUE,5
0.390,0.273,0.337,LIGHT_BLUE,5
0.244,0.322,0.434,LIGHT_BLUE,5
0.250,0.344,0.406,LIGHT_BLUE,5
0.389,0.195,0.417,LIGHT_BLUE,5
0.333,0.252,0.415,LIGHT_BLUE,5
0.259,0.355,0.386,LIGHT_BLUE,5
0.307,0.359,0.334,LIGHT_BLUE,5
0.354,0.299,0.347,LIGHT_BLUE,5
0.234,0.435,0.332,LIGHT_BLUE,5
0.265,0.384,0.351,LIGHT_BLUE,5
0.326,0.270,0.404,LIGHT_BLUE,5
0.196,0.527,0.276,LIGHT_BLUE,5
0.150,0.324,0.526,LIGHT_BLUE,5
0.266,0.436,0.298,LIGHT_BLUE,5
0.245,0.393,0.362,LIGHT_BLUE,5
0.361,0.257,0.382,LIGHT_BLUE,5
0.234,0.331,0.435,LIGHT_BLUE,5
0.233,0.356,0.411,LIGHT_BLUE,5
0.296,0.452,0.252,LIGHT_BLUE,5
0.272,0.275,0.454,LIGHT_BLUE,5
0.227,0.318,0.455,LIGHT_BLUE,5
0.246,0.446,0.308,LIGHT_BLUE,5
0.296,0.398,0.306,LIGHT_BLUE,5
0.335,0.338,0.327,LIGHT_BLUE,5
0.359,0.361,0.280,LIGHT_BLUE,5
0.315,0.381,0.304,LIGHT_BLUE,5
0.342,0.301,0.357,LIGHT_BLUE,5
0.255,0.375,0.370,LIGHT_BLUE,5
0.300,0.303,0.397,LIGHT_BLUE,5
0.163,0.431,0.406,LIGHT_BLUE,5
0.219,0.354,0.427,LIGHT_BLUE,5
0.326,0.249,0.425,LIGHT_BLUE,5
0.287,0.295,0.418,LIGHT_BLUE,5
0.311,0.311,0.379,LIGHT_BLUE,5
0.353,0.268,0.379,LIGHT_BLUE,5
0.185,0.464,0.351,LIGHT_BLUE,5
0.338,0.311,0.351,LIGHT_BLUE,5
0.203,0.392,0.405,LIGHT_BLUE,5
0.312,0.379,0.309,LIGHT_BLUE,5
0.117,0.493,0.390,LIGHT_BLUE,5
0.430,0.261,0.309,LIGHT_BLUE,5
0.248,0.367,0.386,LIGHT_BLUE,5
0.286,0.359,0.355,LIGHT_BLUE,5
0.271,0.350,0.379,LIGHT_BLUE,5
0.267,0.322,0.411,LIGHT_BLUE,5
0.191,0.408,0.401,LIGHT_BLUE,5
0.240,0.266,0.494,LIGHT_BLUE,5
0.370,0.369,0.261,LIGHT_BLUE,5
0.200,0.414,0.386,LIGHT_BLUE,5
0.423,0.270,0.307,LIGHT_BLUE,5
0.288,0.399,0.313,LIGHT_BLUE,5
0.419,0.252,0.329,LIGHT_BLUE,5
0.302,0.377,0.320,LIGHT_BLUE,5
0.298,0.243,0.459,LIGHT_BLUE,5
0.288,0.323,0.388,LIGHT_BLUE,5
0.200,0.450,0.350,LIGHT_BLUE,5
0.281,0.385,0.334,LIGHT_BLUE,5
0.294,0.379,0.327,LIGHT_BLUE,5
0.349,0.276,0.375,LIGHT_BLUE,5
0.348,0.300,0.352,LIGHT_BLUE,5
0.282,0.324,0.395,LIGHT_BLUE,5
0.247,0.332,0.420,LIGHT_BLUE,5
0.281,0.277,0.443,LIGHT_BLUE,5
0.190,0.360,0.450,LIGHT_BLUE,5
0.224,0.446,0.330,LIGHT_BLUE,5
0.339,0.297,0.364,LIGHT_BLUE,5
0.158,0.322,0.520,LIGHT_BLUE,5
0.370,0.377,0.253,LIGHT_BLUE,5
0.188,0.281,0.530,LIGHT_BLUE,5
0.247,0.404,0.349,LIGHT_BLUE,5
0.313,0.195,0.492,LIGHT_BLUE,5
0.285,0.292,0.423,LIGHT_BLUE,5
0.318,0.376,0.306,LIGHT_BLUE,5
0.222,0.403,0.376,LIGHT_BLUE,5
0.356,0.246,0.398,LIGHT_BLUE,5
0.301,0.393,0.307,LIGHT_BLUE,5
0.331,0.338,0.331,LIGHT_BLUE,5
0.369,0.373,0.257,LIGHT_BLUE,5
0.214,0.378,0.408,LIGHT_BLUE,5
0.166,0.386,0.448,LIGHT_BLUE,5
0.309,0.337,0.354,LIGHT_BLUE,5
0.207,0.295,0.498,LIGHT_BLUE,5
0.343,0.270,0.387,LIGHT_BLUE,5
0.330,0.332,0.338,LIGHT_BLUE,5
0.203,0.196,0.601,LIGHT_BLUE,5
0.281,0.378,0.341,LIGHT_BLUE,5
0.222,0.459,0.318,LIGHT_BLUE,5
0.305,0.347,0.347,LIGHT_BLUE,5
0.317,0.311,0.373,LIGHT_BLUE,5
0.384,0.311,0.305,LIGHT_BLUE,5
0.257,0.282,0.461,LIGHT_BLUE,5
0.264,0.261,0.476,LIGHT_BLUE,5
0.268,0.329,0.404,LIGHT_BLUE,5
0.280,0.285,0.436,LIGHT_BLUE,5
0.209,0.586,0.204,LIGHT_BLUE,5
0.255,0.362,0.383,LIGHT_BLUE,5
0.233,0.301,0.466,LIGHT_BLUE,5
0.311,0.269,0.420,LIGHT_BLUE,5
0.242,0.259,0.499,LIGHT_BLUE,5
0.239,0.400,0.360,LIGHT_BLUE,5
0.275,0.334,0.391,LIGHT_BLUE,5
0.266,0.467,0.267,LIGHT_BLUE,5
0.247,0.331,0.421,LIGHT_BLUE,5
0.202,0.290,0.508,LIGHT_BLUE,5
0.339,0.345,0.315,LIGHT_BLUE,5
0.312,0.366,0.322,LIGHT_BLUE,5
0.296,0.333,0.371,LIGHT_BLUE,5
0.285,0.364,0.351,LIGHT_BLUE,5
0.298,0.298,0.404,LIGHT_BLUE,5
0.331,0.370,0.299,LIGHT_BLUE,5
0.331,0.341,0.327,LIGHT_BLUE,5
0.297,0.462,0.241,LIGHT_BLUE,5
0.309,0.316,0.375,LIGHT_BLUE,5
0.281,0.325,0.394,LIGHT_BLUE,5
