R,G,B,color_name,class
0.643,0.293,0.064,ORANGE,1
0.549,0.338,0.114,ORANGE,1
0.656,0.212,0.133,ORANGE,1
0.660,0.219,0.121,ORANGE,1
0.637,0.293,0.070,ORANGE,1
0.529,0.347,0.124,ORANGE,1
0.456,0.444,0.099,ORANGE,1
0.458,0.397,0.145,ORANGE,1
0.647,0.247,0.107,ORANGE,1
0.552,0.302,0.145,ORANGE,1
0.722,0.160,0.118,ORANGE,1
0.582,0.325,0.094,ORANGE,1
0.685,0.214,0.101,ORANGE,1
0.581,0.300,0.120,ORANGE,1
0.631,0.255,0.114,ORANGE,1
0.577,0.304,0.119,ORANGE,1
0.584,0.316,0.100,ORANGE,1
0.445,0.457,0.098,ORANGE,1
0.595,0.248,0.158,ORANGE,1
0.519,0.337,0.145,ORANGE,1
0.618,0.311,0.071,ORANGE,1
0.667,0.251,0.082,ORANGE,1
0.691,0.243,0.067,ORANGE,1
0.622,0.285,0.093,ORANGE,1
0.667,0.279,0.053,ORANGE,1
0.683,0.251,0.066,ORANGE,1
0.527,0.332,0.141,ORANGE,1
0.645,0.227,0.128,ORANGE,1
0.580,0.355,0.065,ORANGE,1
0.536,0.310,0.155,ORANGE,1
0.708,0.212,0.081,ORANGE,1
0.649,0.263,0.087,ORANGE,1
0.570,0.269,0.160,ORANGE,1
0.711,0.165,0.125,ORANGE,1
0.604,0.344,0.052,ORANGE,1
0.595,0.320,0.085,ORANGE,1
0.608,0.276,0.116,ORANGE,1
0.675,0.232,0.092,ORANGE,1
0.589,0.342,0.069,ORANGE,1
0.509,0.370,0.121,ORANGE,1
0.565,0.268,0.167,ORANGE,1
0.621,0.251,0.129,ORANGE,1
0.681,0.237,0.082,ORANGE,1
0.642,0.305,0.053,ORANGE,1
0.625,0.299,0.077,ORANGE,1
0.720,0.188,0.092,ORANGE,1
0.760,0.143,0.097,ORANGE,1
0.571,0.341,0.089,ORANGE,1
0.557,0.330,0.113,ORANGE,1
0.600,0.281,0.119,ORANGE,1
0.638,0.266,0.096,ORANGE,1
0.614,0.294,0.092,ORANGE,1
0.479,0.374,0.146,ORANGE,1
0.617,0.328,0.054,ORANGE,1
0.610,0.281,0.109,ORANGE,1
0.676,0.249,0.075,ORANGE,1
0.594,0.350,0.056,ORANGE,1
0.501,0.348,0.150,ORANGE,1
0.560,0.333,0.107,ORANGE,1
0.655,0.278,0.067,ORANGE,1
0.546,0.333,0.121,ORANGE,1
0.505,0.318,0.177,ORANGE,1
0.631,0.290,0.079,ORANGE,1
0.621,0.281,0.098,ORANGE,1
0.553,0.373,0.074,ORANGE,1
0.679,0.252,0.069,ORANGE,1
0.500,0.364,0.136,ORANGE,1
0.625,0.295,0.079,ORANGE,1
0.649,0.254,0.096,ORANGE,1
0.573,0.275,0.152,ORANGE,1
0.551,0.324,0.125,ORANGE,1
0.680,0.247,0.073,ORANGE,1
0.640,0.215,0.145,ORANGE,1
0.624,0.298,0.078,ORANGE,1
0.475,0.361,0.164,ORANGE,1
0.514,0.382,0.104,ORANGE,1
0.496,0.384,0.119,ORANGE,1
0.602,0.318,0.081,ORANGE,1
0.681,0.240,0.079,ORANGE,1
0.608,0.314,0.078,ORANGE,1
0.689,0.176,0.135,ORANGE,1
0.599,0.244,0.157,ORANGE,1
0.698,0.227,0.075,ORANGE,1
0.572,0.305,0.122,ORANGE,1
0.565,0.358,0.078,ORANGE,1
0.662,0.240,0.098,ORANGE,1
0.397,0.428,0.175,ORANGE,1
0.633,0.283,0.083,ORANGE,1
0.536,0.334,0.130,ORANGE,1
0.580,0.317,0.103,ORANGE,1
0.608,0.297,0.095,ORANGE,1
0.710,0.226,0.065,ORANGE,1
0.562,0.307,0.131,ORANGE,1
0.616,0.294,0.090,ORANGE,1
0.605,0.313,0.082,ORANGE,1
0.657,0.260,0.083,ORANGE,1
0.688,0.194,0.118,ORANGE,1
0.574,0.353,0.073,ORANGE,1
0.597,0.290,0.112,ORANGE,1
0.553,0.306,0.141,ORANGE,1
0.690,0.234,0.076,ORANGE,1
0.672,0.224,0.105,ORANGE,1
0.561,0.356,0.083,ORANGE,1
0.520,0.367,0.113,ORANGE,1
0.572,0.333,0.095,ORANGE,1
0.479,0.316,0.205,ORANGE,1
0.533,0.329,0.138,ORANGE,1
