R,G,B,color_name,class
0.571,0.024,0.405,PINK,3
0.507,0.005,0.489,PINK,3
0.501,0.016,0.483,PINK,3
0.449,0.017,0.534,PINK,3
0.566,0.051,0.384,PINK,3
0.441,0.010,0.549,PINK,3
0.321,0.022,0.657,PINK,3
0.482,0.030,0.488,PINK,3
0.521,0.023,0.455,PINK,3
0.300,0.038,0.662,PINK,3
0.296,0.038,0.665,PINK,3
0.433,0.000,0.567,PINK,3
0.434,0.020,0.547,PINK,3
0.436,0.036,0.528,PINK,3
0.465,0.012,0.523,PINK,3
0.373,0.050,0.577,PINK,3
0.557,0.030,0.412,PINK,3
0.495,0.018,0.487,PINK,3
0.514,0.028,0.458,PINK,3
0.311,0.000,0.689,PINK,3
0.550,0.016,0.435,PINK,3
0.483,0.036,0.481,PINK,3
0.524,0.020,0.456,PINK,3
0.440,0.010,0.550,PINK,3
0.465,0.009,0.526,PINK,3
0.413,0.013,0.574,PINK,3
0.363,0.016,0.621,PINK,3
0.292,0.021,0.687,PINK,3
0.370,0.033,0.597,PINK,3
0.367,0.016,0.617,PINK,3
0.461,0.013,0.526,PINK,3
0.483,0.024,0.493,PINK,3
0.453,0.015,0.531,PINK,3
0.391,0.014,0.594,PINK,3
0.400,0.030,0.570,PINK,3
0.474,0.049,0.477,PINK,3
0.469,0.021,0.510,PINK,3
0.418,0.032,0.550,PINK,3
0.404,0.051,0.545,PINK,3
0.397,0.000,0.603,PINK,3
0.578,0.000,0.422,PINK,3
0.296,0.000,0.704,PINK,3
0.353,0.046,0.601,PINK,3
0.459,0.057,0.484,PINK,3
0.275,0.060,0.665,PINK,3
0.292,0.019,0.689,PINK,3
0.477,0.025,0.498,PINK,3
0.519,0.023,0.458,PINK,3
0.526,0.023,0.451,PINK,3
0.514,0.025,0.462,PINK,3
0.588,0.038,0.374,PINK,3
0.587,0.001,0.412,PINK,3
0.365,0.051,0.585,PINK,3
0.536,0.011,0.453,PINK,3
0.390,0.009,0.601,PINK,3
0.420,0.035,0.545,PINK,3
0.416,0.000,0.584,PINK,3
0.327,0.014,0.660,PINK,3
0.375,0.042,0.583,PINK,3
0.488,0.033,0.480,PINK,3
0.623,0.027,0.351,PINK,3
0.455,0.026,0.519,PINK,3
0.382,0.055,0.564,PINK,3
0.503,0.000,0.497,PINK,3
0.449,0.027,0.524,PINK,3
0.433,0.049,0.518,PINK,3
0.545,0.018,0.437,PINK,3
0.489,0.016,0.495,PINK,3
0.349,0.039,0.612,PINK,3
0.548,0.011,0.442,PINK,3
0.445,0.023,0.532,PINK,3
0.459,0.035,0.506,PINK,3
0.583,0.009,0.408,PINK,3
0.489,0.013,0.499,PINK,3
0.474,0.012,0.514,PINK,3
0.444,0.049,0.507,PINK,3
0.526,0.017,0.457,PINK,3
0.580,0.015,0.405,PINK,3
0.435,0.041,0.524,PINK,3
0.506,0.004,0.490,PINK,3
0.491,0.005,0.504,PINK,3
0.613,0.035,0.352,PINK,3
0.458,0.014,0.528,PINK,3
0.472,0.043,0.486,PINK,3
0.441,0.022,0.537,PINK,3
0.501,0.021,0.478,PINK,3
0.515,0.015,0.471,PINK,3
0.516,0.061,0.423,PINK,3
0.415,0.012,0.572,PINK,3
0.438,0.034,0.528,PINK,3
0.436,0.033,0.531,PINK,3
0.249,0.052,0.698,PINK,3
0.374,0.013,0.613,PINK,3
0.411,0.005,0.584,PINK,3
0.486,0.034,0.480,PINK,3
0.584,0.025,0.391,PINK,3
0.349,0.029,0.621,PINK,3
0.391,0.027,0.583,PINK,3
0.399,0.021,0.581,PINK,3
0.538,0.000,0.462,PINK,3
0.494,0.019,0.487,PINK,3
0.378,0.057,0.565,PINK,3
0.438,0.039,0.524,PINK,3
0.458,0.002,0.540,PINK,3
0.476,0.039,0.485,PINK,3
0.488,0.049,0.463,PINK,3
0.471,0.021,0.509,PINK,3
0.361,0.000,0.639,PINK,3
0.404,0.025,0.571,PINK,3
0.353,0.036,0.611,PINK,3
0.427,0.054,0.518,PINK,3
0.445,0.015,0.540,PINK,3
0.388,0.070,0.541,PINK,3
0.478,0.063,0.459,PINK,3
0.537,0.028,0.435,PINK,3
0.427,0.072,0.501,PINK,3
0.543,0.046,0.411,PINK,3
0.520,0.032,0.448,PINK,3
0.456,0.018,0.526,PINK,3
0.494,0.006,0.500,PINK,3
0.330,0.010,0.661,PINK,3
0.479,0.015,0.506,PINK,3
0.374,0.051,0.575,PINK,3
0.523,0.040,0.437,PINK,3
0.501,0.016,0.483,PINK,3
0.482,0.044,0.474,PINK,3
0.443,0.034,0.523,PINK,3
0.468,0.005,0.527,PINK,3
0.407,0.041,0.551,PINK,3
0.532,0.028,0.440,PINK,3
0.393,0.018,0.589,PINK,3
0.436,0.045,0.519,PINK,3
0.396,0.010,0.594,PINK,3
0.526,0.022,0.452,PINK,3
0.373,0.000,0.627,PINK,3
0.498,0.015,0.488,PINK,3
0.513,0.017,0.470,PINK,3
0.402,0.010,0.587,PINK,3
0.372,0.052,0.577,PINK,3
