R,G,B,color_name,class
0.843,0.084,0.073,RED,0
0.837,0.059,0.105,RED,0
0.748,0.130,0.122,RED,0
0.821,0.062,0.117,RED,0
0.791,0.082,0.127,RED,0
0.730,0.136,0.135,RED,0
0.704,0.129,0.167,RED,0
0.704,0.190,0.107,RED,0
0.851,0.068,0.082,RED,0
0.868,0.070,0.063,RED,0
0.873,0.048,0.079,RED,0
0.790,0.095,0.115,RED,0
0.826,0.030,0.144,RED,0
0.841,0.021,0.138,RED,0
0.884,0.086,0.030,RED,0
0.897,0.071,0.032,RED,0
0.906,0.036,0.057,RED,0
0.843,0.068,0.089,RED,0
0.875,0.078,0.048,RED,0
0.825,0.070,0.105,RED,0
0.838,0.088,0.074,RED,0
0.792,0.107,0.101,RED,0
0.746,0.093,0.162,RED,0
0.842,0.104,0.054,RED,0
0.882,0.044,0.073,RED,0
0.853,0.060,0.087,RED,0
0.825,0.103,0.072,RED,0
0.869,0.065,0.066,RED,0
0.773,0.134,0.093,RED,0
0.823,0.084,0.093,RED,0
0.867,0.072,0.061,RED,0
0.848,0.042,0.109,RED,0
0.801,0.106,0.093,RED,0
0.714,0.119,0.167,RED,0
0.842,0.065,0.094,RED,0
0.820,0.091,0.089,RED,0
0.880,0.044,0.075,RED,0
0.781,0.118,0.102,RED,0
0.825,0.077,0.098,RED,0
0.868,0.031,0.101,RED,0
0.857,0.064,0.079,RED,0
0.830,0.086,0.084,RED,0
0.830,0.098,0.072,RED,0
0.763,0.137,0.100,RED,0
0.752,0.110,0.138,RED,0
0.819,0.089,0.092,RED,0
0.752,0.120,0.128,RED,0
0.858,0.059,0.083,RED,0
0.856,0.108,0.036,RED,0
0.870,0.062,0.068,RED,0
0.892,0.066,0.043,RED,0
0.900,0.068,0.032,RED,0
0.777,0.094,0.129,RED,0
0.936,0.046,0.018,RED,0
0.797,0.148,0.054,RED,0
0.838,0.068,0.095,RED,0
0.872,0.060,0.068,RED,0
0.885,0.053,0.062,RED,0
0.815,0.123,0.063,RED,0
0.806,0.102,0.091,RED,0
0.793,0.146,0.061,RED,0
0.693,0.160,0.147,RED,0
0.843,0.053,0.104,RED,0
0.870,0.086,0.044,RED,0
0.826,0.051,0.123,RED,0
0.784,0.105,0.110,RED,0
0.860,0.057,0.083,RED,0
0.848,0.084,0.067,RED,0
0.934,0.025,0.040,RED,0
0.887,0.049,0.064,RED,0
0.792,0.109,0.099,RED,0
0.894,0.038,0.068,RED,0
0.812,0.091,0.097,RED,0
0.870,0.052,0.078,RED,0
0.818,0.079,0.103,RED,0
0.779,0.136,0.085,RED,0
0.854,0.057,0.089,RED,0
0.815,0.086,0.100,RED,0
0.850,0.117,0.033,RED,0
0.868,0.063,0.069,RED,0
0.822,0.065,0.114,RED,0
0.787,0.100,0.113,RED,0
0.791,0.078,0.130,RED,0
0.863,0.084,0.053,RED,0
0.789,0.118,0.093,RED,0
0.786,0.149,0.065,RED,0
0.846,0.075,0.079,RED,0
0.839,0.075,0.086,RED,0
0.887,0.040,0.073,RED,0
0.873,0.071,0.056,RED,0
0.798,0.093,0.109,RED,0
0.869,0.066,0.065,RED,0
0.764,0.080,0.157,RED,0
0.710,0.163,0.126,RED,0
0.796,0.064,0.139,RED,0
0.762,0.143,0.095,RED,0
0.892,0.064,0.044,RED,0
0.857,0.079,0.064,RED,0
0.849,0.062,0.089,RED,0
0.722,0.118,0.160,RED,0
0.793,0.082,0.125,RED,0
0.847,0.093,0.060,RED,0
0.802,0.081,0.116,RED,0
0.815,0.129,0.056,RED,0
0.795,0.115,0.090,RED,0
0.858,0.061,0.080,RED,0
0.830,0.070,0.099,RED,0
0.882,0.036,0.082,RED,0
0.785,0.132,0.083,RED,0
0.809,0.058,0.133,RED,0
0.879,0.057,0.064,RED,0
0.810,0.081,0.109,RED,0
0.834,0.076,0.089,RED,0
0.864,0.064,0.072,RED,0
0.721,0.090,0.189,RED,0
0.788,0.085,0.127,RED,0
0.799,0.091,0.110,RED,0
0.791,0.088,0.121,RED,0
0.864,0.081,0.055,RED,0
0.871,0.065,0.064,RED,0
0.756,0.102,0.142,RED,0
0.870,0.085,0.045,RED,0
0.913,0.074,0.013,RED,0
0.851,0.076,0.074,RED,0
0.857,0.098,0.046,RED,0
0.885,0.057,0.058,RED,0
0.832,0.096,0.073,RED,0
0.812,0.123,0.065,RED,0
0.838,0.102,0.060,RED,0
0.891,0.060,0.049,RED,0
0.819,0.079,0.102,RED,0
0.838,0.071,0.091,RED,0
0.765,0.185,0.049,RED,0
0.777,0.117,0.106,RED,0
0.868,0.073,0.060,RED,0
0.788,0.071,0.141,RED,0
0.768,0.126,0.107,RED,0
0.851,0.071,0.078,RED,0
0.700,0.142,0.157,RED,0
0.860,0.070,0.071,RED,0
0.821,0.102,0.078,RED,0
0.850,0.062,0.087,RED,0
0.821,0.084,0.095,RED,0
0.859,0.052,0.090,RED,0
0.807,0.076,0.118,RED,0
