R,G,B,color_name,class
0.451,0.539,0.010,YELLOW,2
0.524,0.457,0.019,YELLOW,2
0.623,0.374,0.003,YELLOW,2
0.443,0.552,0.006,YELLOW,2
0.561,0.439,0.000,YELLOW,2
0.504,0.484,0.012,YELLOW,2
0.585,0.415,0.000,YELLOW,2
0.491,0.489,0.020,YELLOW,2
0.330,0.670,0.000,YELLOW,2
0.564,0.436,0.000,YELLOW,2
0.568,0.422,0.011,YELLOW,2
0.622,0.378,0.000,YELLOW,2
0.567,0.420,0.014,YELLOW,2
0.450,0.525,0.024,YELLOW,2
0.659,0.333,0.008,YELLOW,2
0.341,0.639,0.020,YELLOW,2
0.575,0.425,0.000,YELLOW,2
0.582,0.407,0.011,YELLOW,2
0.562,0.434,0.004,YELLOW,2
0.684,0.315,0.002,YELLOW,2
0.481,0.499,0.020,YELLOW,2
0.623,0.366,0.011,YELLOW,2
0.507,0.482,0.011,YELLOW,2
0.415,0.568,0.016,YELLOW,2
0.449,0.531,0.020,YELLOW,2
0.603,0.386,0.011,YELLOW,2
0.384,0.599,0.017,YELLOW,2
0.508,0.478,0.014,YELLOW,2
0.501,0.491,0.007,YELLOW,2
0.469,0.531,0.000,YELLOW,2
0.496,0.477,0.027,YELLOW,2
0.568,0.426,0.005,YELLOW,2
0.577,0.423,0.000,YELLOW,2
0.453,0.529,0.018,YELLOW,2
0.610,0.386,0.004,YELLOW,2
0.630,0.361,0.009,YELLOW,2
0.434,0.566,0.000,YELLOW,2
0.585,0.408,0.007,YELLOW,2
0.563,0.436,0.001,YELLOW,2
0.500,0.470,0.030,YELLOW,2
0.508,0.492,0.000,YELLOW,2
0.600,0.379,0.021,YELLOW,2
0.495,0.500,0.005,YELLOW,2
0.629,0.369,0.002,YELLOW,2
0.512,0.481,0.007,YELLOW,2
0.512,0.488,0.000,YELLOW,2
0.644,0.356,0.000,YELLOW,2
0.432,0.568,0.000,YELLOW,2
0.520,0.467,0.014,YELLOW,2
0.429,0.571,0.000,YELLOW,2
0.593,0.407,0.000,YELLOW,2
